team_short_display_name,team_name,team_abbreviation
Alabama A&M,Bulldogs,AAMU
Academy of Art,Academy Of Art,AAU
Arl Baptist,Patriots,ABU
Abil Christian,Wildcats,ACU
Abilene Chrstn,Wildcats,ACU
Adrian,Bulldogs,ADR
Adams State,Grizzlies,ADST
Air Force,Falcons,AFA
Ark Fort Smith,Lions,AFS
Ala Huntsville,Chargers,AH
American Int'l,Yellow Jackets,AIC
Akron,Zips,AKR
Alabama,Crimson Tide,ALA
Albany,Great Danes,ALB
Albertus Magnus,Falcons,ALB
Albion,Britons,ALBI
Albany St GA,Golden Rams,ALBS
Alcorn State,Braves,ALCN
Alcorn St,Braves,ALCN
Alfred State,Alfred State,ALFST
Alice Lloyd College,Eagles,ALL
Alice Lloyd,Eagles,ALL
Allen,Allen,ALLN
Allen Univ,Allen,ALLN
Alma,Alma,ALMA
Alabama State,Hornets,ALST
Alabama St,Hornets,ALST
Aub.-Montgomery,Senators,AM
Texas A&M-CC,Islanders,AMCC
TX A&M-Commerce,Lions,AMCM
American,Eagles,AMER
TX A&M-Intl,Dust Devils,AMI
TX A&M Kings,Javelinas,AMKN
Anderson (SC),Trojans,AND
Anderson (IN),Ravens,AND
Angelo St,Rams,ANG
Antelope Valley,Pioneers,ANTP
Appalachian St,Mountaineers,APP
Austin Peay,Governors,APSU
Aquinas,Saints,AQU
Ark Baptist,Buffaloes,ARB
Arcadia University,Knights,ARC
Arizona,Wildcats,ARIZ
Arkansas,Razorbacks,ARK
Ark Monticello,Weevils,ARMC
Army,Black Knights,ARMY
Arkansas State,Red Wolves,ARST
Asbury,Eagles,ASB
Ashland,Eagles,ASH
Arizona State,Sun Devils,ASU
Arkansas Tech,Wonder Boys,ATU
Auburn,Tigers,AUB
Augustana (IL),Vikings,AUG
Aurora,Spartans,AUR
Austin,Kangaroos,AUS
Averett,Cougars,AVE
Ave Maria,Gyrenes,AVE
Avila,Eagles,AVI
AZ Christian,Firestorm,AZCH
Bel Abbey,Crusaders,BAC
Baker,Baker,BAKER
Ball State,Cardinals,BALL
Baptist Bible,Defenders,BAPTB
Buena Vista,Beavers,BAQ
Barclay,Bears,BARC
Baylor,Bears,BAY
Baptist (MO),Patriots,BBCM
Barber-Scotia,Sabers,BBS
Boston College,Eagles,BC
Benedict,Ravens,BC
Blue Mountain,Toppers,BCM
Bethune-Cookman,Wildcats,BCU
Belmont,Bruins,BEL
Bellevue,Bruins,BELL
Bellarmine,Knights,BELL
Benedictine,Ravens,BENC
Benedictine,Eagles,BENC
Berea College,Berea,BEREA
Berry,Berry,BERRY
BethnyWV,Bison,BET
Bethany,Swedes,BET
Bethesda,Flames,BETH
Bowling Green,Falcons,BGSU
Belhaven,Blazers,BHV
Binghamton,Bearcats,BING
Biola,Biola,BIOLA
Bacone College,Warriors,BKN
Black Hills St,Yellow Jackets,BLA
Blmsburg,Huskies,BLO
Bluefield,Ramblin' Rams,BLU
Bob Jones,Bruins,BOBJ
Boyce,Bulldogs,BOY
Brewton-Parker,Wildcats,BP
Bradley,Braves,BRAD
Baruch College,Bearcats,BRC
Brescia,Bearcats,BRE
Brevard,Tornados,BRE
Bridgewater,Eagles,BRI
BYU Hawaii,Seasiders,BRI
Bridgewater VA,Eagles,BRI
Bristol Univ.,Bears,BRIS
Brown,Bears,BRWN
Bryant,Bulldogs,BRY
Bryn Athyn,Lions,BRYN
Bryan,Lions,BRYN
Bluefield St,Big Blues,BSC
Birm-Southern,Panthers,BSC
Bemidji St,Beavers,BST
Boise State,Broncos,BSU
BowieSt,Bulldogs,BSU
BuffSt,Bengals,BSU
Bethel (TN),Wildcats,BTH
Boston U,Terriers,BU
Boston Univ,Terriers,BU
Benedictine AZ,Redhawks,BUAZ
Bucknell,Bison,BUCK
Buffalo,Bulls,BUFF
NA,Beacons,BUSH
Bushnell,Beacons,BUSH
Butler,Bulldogs,BUT
BYU,Cougars,BYU
Cabrini,Cavaliers,CAB
Campbellsville,Tigers,CAI
California,Golden Bears,CAL
Calvin,Knights,CAL
Caldwell,Cougars,CALD
Calvary,Warriors,CALV
Cameron,Aggies,CAM
California Maritime,Keelhaulers,CAMAR
NA,Fighting Camels,CAMP
Campbell,Fighting Camels,CAMP
Canisius,Golden Griffins,CAN
SUNY Canton,Kangaroos,CANT
Carroll MT,Fighting Saints,CAR
Carroll (MT),Fighting Saints,CAR
NA,Bears,CARK
C Arkansas,Bears,CARK
Carlow,Celtics,CARLO
Carolina Univ.,Bruins,CARU
Carver,Cougars,CARV
Catholic,Cardinals,CATH
Cent Bapt Coll,Mustangs,CBAP
Carver Bible,Cougars,CBC
Carver College,Cougars,CBC
Cal Baptist,Lancers,CBU
CA Baptist,Lancers,CBU
Columbus State,Cougars,CCB
Cent Chris Coll,Saints,CCC
Concordia (MI),Cardinals,CCD
Concordia-St. P,Golden Bears,CCD
Concordia (NE),Clippers,CCD
CncrdiWI,Falcons,CCD
Concordia (CA),Eagles,CCD
CO Christian,Cougars,CCH
Concordia IL,Cougars,CCI
Concordia OR,Cavaliers,CCO
Concord,Mountain Lions,CCR
Cent Conn St,Blue Devils,CCSU
C Connecticut,Blue Devils,CCSU
NA,Chanticleers,CCU
Catawba,Indians,CCU
Coast Carolina,Chanticleers,CCU
Centre C,Colonels,CCX
Cedarville,Yellow Jackets,CDE
Centenary,Gentlemen,CENT
Centenary,Cyclones,CENT
Centenary LA,Gentlemen,CENT
Champ. Christ.,Tigers,CHA
Chapman,Panthers,CHA
Chaminade,Silverswords,CHAM
Chadron State,Eagles,CHD
Cheyney,Wolves,CHE
Chestnut Hill,Griffins,CHES
Chicago,Maroons,CHI
Chicago State,Cougars,CHIC
Chillicothe,Ohchilli,CHIL
Chowan,Hawks,CHO
Christendom,Crusaders,CHRI
Charleston So,Buccaneers,CHSO
Chatham,Cougars,CHU
Cincinnati,Bearcats,CIN
Cincy Clermont,Cougars,CINC
The Citadel,Bulldogs,CIT
Cal Tech,Beavers,CIT
Columbia Int,Rams,CIU
Clearwater Christian,Cougars,CLEAR
Clemson,Tigers,CLEM
Cleveland State,Vikings,CLEV
Claflin,Panthers,CLF
Columbia,Lions,CLMB
Clarion,Golden Eagles,CLR
NA,49ers,CLT
Charlotte,49ers,CLT
Cal Lutheran,Kingsmen,CLU
Clayton,Lakers,CLY
Concordia (MN),Cobbers,CMHD
Cent Methodist,Eagles,CMTH
Cent Michigan,Chippewas,CMU
