value,n
St. Thomas,27
UC San Diego,41
Tarleton St.,43
Dixie St.,46
Bellarmine,49
Merrimack,77
Winston Salem St.,80
North Alabama,103
Cal Baptist,104
Centenary,114
Fort Wayne,173
Little Rock,198
Incarnate Word,217
IPFW,240
Abilene Christian,243
Arkansas Little Rock,247
UMass Lowell,254
Grand Canyon,263
Northern Kentucky,294
Nebraska Omaha,308
Savannah St.,339
New Orleans,352
SIU Edwardsville,370
Seattle,371
South Dakota,372
North Dakota,377
Dartmouth,379
Cornell,389
Houston Baptist,389
Columbia,390
Brown,391
Princeton,393
Harvard,396
Western Illinois,399
McNeese St.,402
Alabama A&M,403
Yale,403
Penn,406
Charleston Southern,409
Sacramento St.,409
Northwestern St.,411
Chicago St.,413
Nicholls St.,413
North Carolina Central,415
VMI,415
Bryant,416
Idaho St.,417
UT Rio Grande Valley,417
Maine,418
New Hampshire,418
Bethune Cookman,419
Central Arkansas,419
Maryland Eastern Shore,419
Utah Valley,419
The Citadel,420
Stephen F. Austin,421
Grambling St.,422
NJIT,422
UC Riverside,422
Delaware St.,423
Alcorn St.,424
High Point,424
Lamar,424
Cal Poly,426
Portland St.,426
Southeastern Louisiana,426
Cal St. Bakersfield,427
Southern Utah,427
Howard,428
South Carolina St.,428
Stetson,428
Eastern Illinois,429
Texas St.,429
Florida A&M,430
Hawaii,430
Presbyterian,430
UC Davis,430
UMKC,430
UTSA,430
Fordham,431
Kennesaw St.,431
Montana St.,431
San Jose St.,431
Binghamton,432
Arkansas St.,433
Longwood,433
Alabama St.,434
IUPUI,434
Southern,434
Tennessee St.,434
UNC Asheville,434
Cal St. Fullerton,435
Campbell,435
Northern Colorado,435
Northern Illinois,435
Sam Houston St.,435
Air Force,436
Cal St. Northridge,436
East Carolina,436
Eastern Michigan,436
FIU,436
Florida Atlantic,436
UC Santa Barbara,436
Army,437
Coastal Carolina,437
Georgia Southern,437
Jacksonville St.,437
Louisiana Monroe,437
Wagner,437
Elon,438
Fairleigh Dickinson,438
Jacksonville,438
Northern Arizona,438
Samford,438
Southeast Missouri St.,438
Texas A&M Corpus Chris,438
Winthrop,438
Youngstown St.,438
South Alabama,439
Tennessee Martin,439
William & Mary,439
Navy,440
Radford,440
Tennessee Tech,440
Troy,440
Central Connecticut,441
Gardner Webb,441
Lafayette,441
St. Francis PA,441
USC Upstate,441
Weber St.,441
Appalachian St.,442
Central Michigan,442
Montana,442
Southern Miss,442
St. Francis NY,442
Denver,443
Idaho,443
Lipscomb,443
North Dakota St.,443
Prairie View A&M,443
Eastern Kentucky,444
Furman,444
North Carolina A&T,444
Pacific,444
UT Arlington,444
Lehigh,445
Morgan St.,445
North Florida,446
Portland,446
Sacred Heart,446
Ball St.,447
San Diego,447
UMBC,447
American,448
Coppin St.,448
Eastern Washington,448
Rice,448
North Texas,449
Florida Gulf Coast,450
Indiana St.,450
Austin Peay,451
Detroit,451
Jackson St.,451
Liberty,451
Louisiana Lafayette,451
Loyola Marymount,451
Loyola MD,451
Chattanooga,452
Georgia St.,452
Holy Cross,452
Miami OH,452
Murray St.,452
Pepperdine,452
UNC Wilmington,452
Drexel,453
Duquesne,453
Oral Roberts,453
Santa Clara,453
Tulane,453
Bowling Green,454
Colgate,454
Illinois Chicago,454
South Dakota St.,454
Western Carolina,454
Charlotte,455
Long Beach St.,455
UCF,455
LIU Brooklyn,457
Milwaukee,457
Delaware,458
Marist,458
Quinnipiac,458
Wofford,458
Norfolk St.,459
SMU,459
Stony Brook,459
Towson,459
Western Michigan,459
Arkansas Pine Bluff,460
Evansville,460
Green Bay,460
Hampton,460
Manhattan,460
Mississippi Valley St.,460
Canisius,461
James Madison,461
San Francisco,461
St. Bonaventure,461
UNC Greensboro,461
Morehead St.,462
Southern Illinois,462
Fresno St.,463
George Washington,463
Wake Forest,463
Wyoming,463
Buffalo,464
DePaul,464
La Salle,464
Cleveland St.,465
Colorado St.,465
Mount St. Mary's,465
Bucknell,466
Albany,467
Boise St.,467
Hartford,467
Loyola Chicago,467
Saint Peter's,467
South Carolina,467
Boston University,468
Massachusetts,468
Niagara,468
UTEP,468
Marshall,469
New Mexico St.,469
UC Irvine,469
Utah,469
Drake,470
Hofstra,470
Mercer,470
Northeastern,470
Rutgers,470
Valparaiso,470
East Tennessee St.,471
Missouri St.,471
Boston College,472
Davidson,472
Middle Tennessee,472
Monmouth,472
South Florida,472
Northern Iowa,473
Northwestern,473
Oregon St.,474
Siena,474
Toledo,474
Wright St.,474
Saint Joseph's,475
College of Charleston,476
Louisiana Tech,476
Nebraska,476
Rider,476
Saint Louis,476
Temple,477
Georgetown,478
Georgia Tech,478
UAB,478
UNLV,478
George Mason,479
New Mexico,479
Rhode Island,479
Georgia,480
Iona,480
Kent St.,480
TCU,480
Tulsa,480
Auburn,481
Clemson,481
Illinois St.,481
Nevada,481
Oakland,481
Seton Hall,481
St. John's,481
Utah St.,481
Vermont,481
Washington St.,481
Belmont,482
Fairfield,482
Ohio,482
Arizona St.,484
Saint Mary's,484
Akron,485
Bradley,485
LSU,485
Texas A&M,486
Texas Southern,487
Western Kentucky,487
Missouri,488
Oklahoma St.,488
Penn St.,488
Providence,489
San Diego St.,489
Texas Tech,490
Vanderbilt,490
California,491
Houston,491
Oklahoma,491
Iowa St.,492
Robert Morris,492
Virginia Tech,492
Wichita St.,492
Indiana,493
Stanford,493
Colorado,494
North Carolina St.,494
Richmond,494
Virginia,494
Washington,495
Kansas St.,496
Marquette,496
Maryland,496
Minnesota,496
Mississippi St.,496
USC,496
Butler,497
Cincinnati,497
Dayton,497
Mississippi,497
Old Dominion,497
Pittsburgh,497
Alabama,498
BYU,499
Illinois,499
Iowa,499
Miami FL,499
Arkansas,500
Florida St.,501
Connecticut,503
Tennessee,503
Baylor,504
Texas,507
Xavier,507
Notre Dame,508
Creighton,510
Memphis,510
UCLA,510
VCU,511
Louisville,512
Michigan,513
Purdue,513
West Virginia,513
Oregon,515
Arizona,516
Gonzaga,517
Syracuse,518
Wisconsin,518
Ohio St.,520
Villanova,520
Florida,521
Michigan St.,531
Kentucky,533
Duke,534
Kansas,542
North Carolina,548
