type,loc,season,tempo,game_id,date,min,pos,win,loss,team1_conf,team1_adj_o,team1_adj_d,team1_ppp,team1_efg,team1_to_per,team1_or_per,team1_ftr,team1_game_score,team1_coach,team1_avg_margin,team1_opp_avg_margin,team1,team1_fgm,team1_fga,team1_tpm,team1_tpa,team1_ftm,team1_fta,team1_oreb,team1_dreb,team1_reb,team1_ast,team1_stl,team1_blk,team1_to,team1_pf,team1_pts,team2_ppp,team2_efg,team2_to_per,team2_or_per,team2_ftr,team2_conf,team2_coach,team2,team2_fgm,team2_fga,team2_tpm,team2_tpa,team2_ftm,team2_fta,team2_oreb,team2_dreb,team2_reb,team2_ast,team2_stl,team2_blk,team2_to,team2_pf,team2_pts,team2_adj_o,team2_adj_d,team2_game_score,team2_avg_margin,team2_opp_avg_margin
nc,A,2009,80,283150150,2008-11-10,200,80,Duke,Presbyterian,BSth,70.2,83.7,61.3,33,35,25,35.8,11.8,Gregg Nibert,NA,0.954338,Presbyterian,16,53,3,17,14,19,10,19,29,4,5,5,28,25,49,100,50,26.2,42.4,33.3,ACC,Mike Krzyzewski,Duke,30,63,3,11,17,21,14,30,44,13,17,4,21,21,80,98.9,71.8,97.6,NA,0.203484
nc,N,2009,68.5,283150248,2008-11-10,200,68.475,Georgia Southern,Houston,SC,99.3,86.6,94.9,42.7,26.3,46.3,24.2,82.8,Jeff Price,NA,0.777087,Georgia Southern,24,62,5,14,12,15,19,26,45,12,7,1,18,23,65,92,41.2,20.4,36.6,47.4,CUSA,Thomas Penders,Houston,20,57,7,20,16,27,15,22,37,9,6,2,14,21,63,83.5,99.7,11.6,NA,0.152925
nc,N,2009,59.3,283160085,2008-11-11,200,59.349999999999994,Northeastern,IUPUI,CAA,119.1,101.6,123,49,13.5,36.7,52,86.1,Bill Coen,NA,0.449731,Northeastern,21,50,7,22,24,26,11,22,33,13,5,3,8,18,73,101.1,41.2,15.2,37.1,51,Sum,Ron Hunter,IUPUI,20,51,2,17,18,26,13,19,32,7,3,4,9,22,60,104.6,118.8,18.8,NA,0.637954
nc,A,2009,76.1,283160150,2008-11-11,200,76.125,Duke,Georgia Southern,SC,82,106.3,70.9,32,22.3,31.4,32.8,4.8,Jeff Price,NA,0.954338,Georgia Southern,18,64,5,19,13,21,16,20,36,6,5,6,17,28,54,127.4,54.5,14.4,53.5,74.2,ACC,Mike Krzyzewski,Duke,32,66,8,19,25,49,23,35,58,17,11,7,11,23,97,111.4,78.7,98.2,NA,0.115693
nc,N,2009,63.3,283162506,2008-11-11,200,63.2625,Houston,Presbyterian,CUSA,121.4,102.6,120.1,58.9,14.2,28.6,26.8,87.3,Thomas Penders,NA,0.260641,Houston,30,56,6,15,10,15,8,18,26,12,11,1,9,23,76,90.1,47.5,30,30.8,60,BSth,Gregg Nibert,Presbyterian,16,40,6,21,19,24,8,20,28,8,5,3,19,18,57,96,111.5,15.1,NA,0.777087
nc,A,2009,77.5,283170026,2008-11-12,200,77.525,UCLA,Prairie View A&M,SWAC,83.3,87,74.8,46,34.8,25,40,37.9,Byron Rimm,NA,0.956255,Prairie View A&M,21,50,4,12,12,20,8,14,22,8,9,2,27,18,58,105.8,58.1,31,56.2,29,P10,Ben Howland,UCLA,32,62,8,22,10,18,18,24,42,14,14,5,24,17,82,98.2,84.6,84.7,NA,0.13419
nc,A,2009,71.2,283170079,2008-11-12,200,71.2375,Southern Illinois,Massachusetts,A10,106.3,111.5,102.5,52.9,28.1,40,51,36.5,Derek Kellogg,NA,0.596721,Massachusetts,23,51,8,20,19,26,12,26,38,8,4,7,20,19,73,112.3,54.8,14,25.7,23.8,MVC,Chris Lowery,Southern Illinois,30,63,9,22,11,15,9,18,27,23,7,5,10,21,80,109.9,101.7,71.1,NA,0.488674
nc,A,2009,59.7,283170130,2008-11-12,200,59.662499999999994,Michigan,Northeastern,CAA,103.1,113.3,93.9,32.8,18.4,45.5,36.2,25.4,Bill Coen,NA,0.888815,Northeastern,17,58,4,24,18,21,20,11,31,11,9,1,11,21,56,127.4,59.3,23.5,45,60.5,B10,John Beilein,Michigan,23,43,5,14,25,26,9,24,33,15,7,3,14,20,76,126.9,94.4,96.8,NA,0.560816
nc,N,2009,66.8,283172692,2008-11-12,200,66.7875,Miami OH,Weber St.,MAC,107.9,98.7,104.8,53.7,21,23.5,31.5,73.6,Charlie Coles,NA,0.602784,Miami OH,24,54,10,20,12,17,8,17,25,9,4,1,14,17,70,98.8,64.6,31.4,26.1,48.8,BSky,Randy Rahe,Weber St.,22,41,9,17,13,20,6,26,32,12,3,0,21,23,66,104.9,104.6,50.9,NA,0.656209
nc,A,2009,55.1,283180026,2008-11-13,200,55.075,UCLA,Miami OH,MAC,117.4,96.6,107.1,57.3,16.3,14.3,34.1,90.4,Charlie Coles,NA,0.956255,Miami OH,20,41,7,15,12,14,3,20,23,10,2,2,9,18,59,116.2,50,12.7,35.5,39.2,P10,Ben Howland,UCLA,23,51,5,18,13,20,11,18,29,5,3,5,7,15,64,120.9,109.2,76.2,NA,0.580402
